Reporting Economy;Product/Sector;Partner Economy;2015;;;;;;
China;BOP6 - SOX - Commercial services;Brazil;688;;;;;;
China;BOP6 - SOX - Commercial services;France;3658;;;;;;
China;BOP6 - SOX - Commercial services;Germany;7673;;;;;;
China;BOP6 - SOX - Commercial services;Hong Kong, China;66412;;;;;;
China;BOP6 - SOX - Commercial services;India;917;;;;;;
China;BOP6 - SOX - Commercial services;Japan;11726;;;;;;
China;BOP6 - SOX - Commercial services;Korea, Republic of;10852;;;;;;
China;BOP6 - SOX - Commercial services;Macao, China;5067;;;;;;
China;BOP6 - SOX - Commercial services;Russian Federation;1184;;;;;;
China;BOP6 - SOX - Commercial services;South Africa;599;;;;;;
China;BOP6 - SOX - Commercial services;Chinese Taipei;6154;;;;;;
China;BOP6 - SOX - Commercial services;United Kingdom;6942;;;;;;
China;BOP6 - SOX - Commercial services;United States of America;33086;;;;;;
China;BOP6 - SPX4 - Goods-related services;Brazil;2;;;;;;
China;BOP6 - SPX4 - Goods-related services;France;260;;;;;;
China;BOP6 - SPX4 - Goods-related services;Germany;1091;;;;;;
China;BOP6 - SPX4 - Goods-related services;Hong Kong, China;8533;;;;;;
China;BOP6 - SPX4 - Goods-related services;India;13;;;;;;
China;BOP6 - SPX4 - Goods-related services;Japan;1926;;;;;;
China;BOP6 - SPX4 - Goods-related services;Korea, Republic of;4409;;;;;;
China;BOP6 - SPX4 - Goods-related services;Macao, China;1101;;;;;;
China;BOP6 - SPX4 - Goods-related services;Russian Federation;45;;;;;;
China;BOP6 - SPX4 - Goods-related services;South Africa;1;;;;;;
China;BOP6 - SPX4 - Goods-related services;Chinese Taipei;1582;;;;;;
China;BOP6 - SPX4 - Goods-related services;United Kingdom;515;;;;;;
China;BOP6 - SPX4 - Goods-related services;United States of America;1084;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Brazil;0;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;France;95;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Germany;82;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Hong Kong, China;8142;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;India;6;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Japan;1573;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Korea, Republic of;4331;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Macao, China;1093;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Russian Federation;12;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;South Africa;1;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;Chinese Taipei;1504;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;United Kingdom;180;;;;;;
China;BOP6 - SA - Manufacturing services on physical inputs owned by others;United States of America;633;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Brazil;2;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;France;165;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Germany;1009;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Hong Kong, China;391;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;India;7;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Japan;353;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Korea, Republic of;78;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Macao, China;8;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Russian Federation;33;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;South Africa;0;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;Chinese Taipei;79;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;United Kingdom;335;;;;;;
China;BOP6 - SB - Maintenance and repair services n.i.e.;United States of America;451;;;;;;
China;BOP6 - SC - Transport;Brazil;244;;;;;;
China;BOP6 - SC - Transport;France;398;;;;;;
China;BOP6 - SC - Transport;Germany;1051;;;;;;
China;BOP6 - SC - Transport;Hong Kong, China;14363;;;;;;
China;BOP6 - SC - Transport;India;256;;;;;;
China;BOP6 - SC - Transport;Japan;1737;;;;;;
China;BOP6 - SC - Transport;Korea, Republic of;1900;;;;;;
China;BOP6 - SC - Transport;Macao, China;78;;;;;;
China;BOP6 - SC - Transport;Russian Federation;230;;;;;;
China;BOP6 - SC - Transport;South Africa;54;;;;;;
China;BOP6 - SC - Transport;Chinese Taipei;836;;;;;;
China;BOP6 - SC - Transport;United Kingdom;1501;;;;;;
China;BOP6 - SC - Transport;United States of America;7530;;;;;;
China;BOP6 - SD - Travel;Brazil;78;;;;;;
China;BOP6 - SD - Travel;France;569;;;;;;
China;BOP6 - SD - Travel;Germany;831;;;;;;
China;BOP6 - SD - Travel;Hong Kong, China;17827;;;;;;
China;BOP6 - SD - Travel;India;357;;;;;;
China;BOP6 - SD - Travel;Japan;1389;;;;;;
China;BOP6 - SD - Travel;Korea, Republic of;2323;;;;;;
China;BOP6 - SD - Travel;Macao, China;3212;;;;;;
